state,area,name,totalA,highA,totalB,highB,totalC,highC,totalD,highD,party,partyClass
전남,영암군무안군신안군,박준영,43094456,43950000,86371038,20000000,,,,,국민의당,kukmin
광주,서구갑,송기석,159310000,40000000,95353195,15000000,,,,,국민의당,kukmin
서울,노원구병,안철수,116395400,5000000,19019030,,,,,,국민의당,kukmin
서울,송파구을,최명길,65040085,15000000,43981108,15000000,,,,,국민의당,kukmin
서울,은평구을,강병원,157900004,22800000,325795019,18200000,276112567,14800000,147079592,4800000,더불어민주당,minju
제주,제주시갑,강창일,305600057,129000000,219480000,35000000,157330100,30000000,136780000,35000000,더불어민주당,minju
충남,아산시을,강훈식,116060001,15000000,284707214,5000000,295873987,24200000,160352750,10000000,더불어민주당,minju
서울,노원구갑,고용진,154540079,35000000,274330079,30000000,189460000,20000000,158160018,20000000,더불어민주당,minju
중앙,비례대표,권미혁,44685000,5000000,107612718,3100000,71270000,,152018000,,더불어민주당,minju
경기,화성시병,권칠승,147439004,33500000,263408910,18100000,242585506,24008600,152658083,5000000,더불어민주당,minju
서울,강서구갑,금태섭,60482121,99000000,115347990,40000000,142754132,40000000,136767213,44000000,더불어민주당,minju
서울,성북구을,기동민,152249330,88000000,290147400,52200000,275796710,44000000,157182077,25000000,더불어민주당,minju
경남,김해시을,김경수,132381000,54650000,299794892,14000000,,,,,더불어민주당,minju
경기,부천시원미구갑,김경협,216468858,15000000,211191333,40000000,279488005,50000000,152990000,18000000,더불어민주당,minju
경기,김포시갑,김두관,142290065,45000000,291077779,64000000,216060000,60000000,145460000,29000000,더불어민주당,minju
경기,용인시을,김민기,186482300,5000000,117215112,8600000,108570027,5000000,106645000,5000000,더불어민주당,minju
경기,성남시분당구갑,김병관,118490354,50000000,185884074,59900000,103760418,25000000,135935018,45000000,더불어민주당,minju
서울,동작구갑,김병기,175920925,30000000,297373921,82000000,256633567,68000000,156927000,47000000,더불어민주당,minju
경기,성남시분당구을,김병욱,126378052,5000000,247810081,28300000,299233196,,155806973,,더불어민주당,minju
대구,수성구갑,김부겸,152900770,9800000,303718501,14000000,281128018,10000000,152495000,15000000,더불어민주당,minju
경기,부천시소사구,김상희,196638014,49000000,155790100,23100000,166440000,24000000,157804000,25000000,더불어민주당,minju
중앙,비례대표,김성수,53131085,5000000,80550056,30000000,87481000,24511000,55382538,,더불어민주당,minju
서울,노원구병,김성환,,,,,87110000,10000000,141099111,35000000,더불어민주당,minju
서울,영등포구갑,김영주,304358301,33400000,301249908,9400000,309095326,18400000,158998327,8800000,더불어민주당,minju
경기,수원시병,김영진,122720000,52100000,157490001,28200000,206120018,27300000,151980000,23600000,더불어민주당,minju
부산,부산진구갑,김영춘,129578001,29000000,242056500,35000000,235504000,35000000,143808000,15000000,더불어민주당,minju
서울,서대문구을,김영호,37141405,15000000,111439890,20000000,92447777,5000000,129020000,10000000,더불어민주당,minju
경기,군포시갑,김정우,108457373,,150202951,5000000,153280308,4307280,139142107,5000000,더불어민주당,minju
경남,김해시을,김정호,,,,,149896429,28650000,150440832,58650000,더불어민주당,minju
충남,논산시계룡시금산군,김종민,109233000,35000000,300243340,92000000,197406340,38000000,150110081,27600000,더불어민주당,minju
중앙,비례대표,김종인,150330566,94000000,,,,,,,더불어민주당,minju
경기,수원시무,김진표,88500000,60000000,265770126,145000000,242061920,45000000,144452188,13100000,더불어민주당,minju
경기,안산시상록구을,김철민,119109000,54000000,269826957,64000000,275643808,105800008,149853004,55000000,더불어민주당,minju
경기,성남시수정구,김태년,296444000,40000000,299260017,49000000,299384018,71000000,150043288,47000000,더불어민주당,minju
경기,남양주시을,김한정,149423752,25000000,208588921,25000000,207172098,28600000,145870918,27900000,더불어민주당,minju
부산,연제구,김해영,119070441,34800000,143964805,10000000,226713618,30000000,150066018,18500000,더불어민주당,minju
중앙,비례대표,김현권,152298333,5000000,148893226,,151120000,10000000,151697175,10000000,더불어민주당,minju
경기,고양시정,김현미,301544036,42500000,163641147,14500000,71348181,,42683434,,더불어민주당,minju
서울,송파구병,남인순,300481000,13500000,208020333,,269141369,8500000,161004392,,더불어민주당,minju
서울,마포구갑,노웅래,301806056,98000000,278317120,75600000,323793977,88500000,149203977,65000000,더불어민주당,minju
충북,청주시흥덕구,도종환,300424018,21000000,66315368,,38206000,,41619000,,더불어민주당,minju
인천,남동구갑,맹성규,,,,,118380000,15000000,142280000,22500000,더불어민주당,minju
중앙,비례대표,문미옥,66169129,5000000,,5000000,,,,,더불어민주당,minju
